Project_ID,Date,Region,State,Warehouse,Supplier,Material_Type,Project_Phase,Tower_Type,Substation_Type,Historical_Demand,Current_Inventory,Lead_Time_Days,Supplier_Risk,Commodity_Price,Transportation_Cost,Storage_Capacity,Production_Capacity,Project_Budget,Weather,Season,Quantity_Required,Year,Month,WeekOfYear,DayOfWeek,Is_Quarter_End,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_Mean_6,Rolling_Max_3,Rolling_Min_3,Rolling_STD_3,Demand_Velocity_1,Demand_Velocity_2,Demand_Acceleration,Demand_Volatility_3,Peak_Spike_Flag,Dip_Drop_Flag,Inventory_Utilization,Lead_Time_Category,Demand_Growth,Inventory_Coverage,Budget_Utilization,Supplier_Risk_Score,Seasonal_Demand_Index,Transportation_Cost_Index
25,2020-01-01,0,9,0,0,0,1,3,2,-0.716536114580978,2.3381182201469284,-0.8549440423831017,0.24877200183774412,-0.716509081773913,2.2064934959909146,0.8953529530227017,-1.0321213431815668,1.5101648980790099,3,3,62.0,2020,1,1,2,0,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316269281463858,0,0.0,10.25776397515528,0.1020538314249167,0.08010968293992968,1.061737554904526,1.2249998830494013
22,2020-01-08,0,9,0,0,0,1,4,2,-0.6143432063556525,2.3381182201469284,-0.03428045195610925,-0.3691510945076338,-0.7743843132840394,-1.0848408705618389,0.8953529530227017,-1.0321213431815668,1.2562270498680947,3,3,89.0,2020,1,2,2,0,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,62.0,160.0,160.0,62.0,62.0,62.0,62.0,0.0,-98.0,0.0,-98.0,0.0,0.0,0.0,0.2316269281463858,1,-0.6086956521739131,26.214285714285715,0.024694282907874964,0.10563757206874227,1.061737554904526,0.3124999699208645
22,2020-01-15,0,9,0,0,0,1,0,0,-0.7744454292419958,2.3381182201469284,-0.22967654491491699,-0.5733339159378807,-0.6875560046333489,-1.2065500160852767,0.8953529530227017,-1.0321213431815668,1.2562270498680947,3,3,48.0,2020,1,3,2,0,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,89.0,62.0,160.0,75.5,75.5,89.0,62.0,19.091883092036785,27.0,-98.0,125.0,0.25287259024252823,0.0,0.0,0.2316269281463858,1,0.42857142857142855,21.58823529411765,0.03485934181261919,0.08460538310102081,1.061737554904526,0.27499997385224245
1,2020-01-22,0,9,0,0,0,1,1,0,-0.7778518595161733,2.3381182201469284,-0.3469142006902016,-0.743961947768292,-0.5916246313759411,-0.6899448493188539,0.8953529530227017,-1.0321213431815668,-0.6093467410849076,3,3,48.0,2020,1,4,2,0,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,48.0,89.0,62.0,66.33333333333333,66.33333333333333,89.0,48.0,20.840665376454112,-41.0,27.0,-68.0,0.3141808377082272,0.0,1.0,0.2316269281463858,1,-0.45555555555555555,24.527227722772277,0.041733169336556006,0.07085308759120698,1.061737554904526,0.4124999612983325
1,2020-01-29,0,9,0,0,0,1,4,0,-0.6790653815650254,2.3381182201469284,0.043877985227413846,-0.6274658384066555,-0.7637819571421015,-0.23457614447695055,0.8953529530227017,-1.0321213431815668,-0.6093467410849076,3,3,79.0,2020,1,5,2,0,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,48.0,48.0,89.0,61.666666666666664,61.75,89.0,48.0,23.671361036774655,0.0,-41.0,41.0,0.3838598464569112,0.0,0.0,0.2316269281463858,1,0.0,26.35372340425532,0.04470615555119495,0.09491470960551622,1.061737554904526,0.5499999471401779
4,2020-02-05,0,9,0,0,0,1,3,2,-0.5394017403237473,2.280505204641956,0.3174325153697447,0.7712293145039743,-0.5572355344640408,-0.2690535247483504,0.8953529530227017,-1.0321213431815668,1.5053465732269335,3,3,95.0,2020,2,6,2,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,79.0,48.0,48.0,58.333333333333336,65.2,79.0,48.0,17.897858344878397,31.0,0.0,31.0,0.30682037617156516,1.0,0.0,0.22748948074685907,1,0.6326530612244898,27.337078651685392,0.035352135886738974,0.2005235823545246,1.061737554904526,0.5249999509763117
1,2020-02-12,0,9,0,0,0,1,2,1,-0.8051033017095933,2.214103763043005,0.004798766635652295,-0.011988567462750784,-0.3655889349265839,-0.23703442832917357,0.8953529530227017,-1.0321213431815668,-0.6093467410849076,2,3,34.0,2020,2,7,2,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,95.0,79.0,48.0,74.0,70.16666666666667,95.0,48.0,23.895606290697042,16.0,31.0,-15.0,0.3229135548859661,1.0,0.0,0.22272089730333675,1,0.2,21.173333333333332,0.09165946395726048,0.12817363898072734,1.061737554904526,0.5199999526902533
1,2020-02-19,0,9,0,0,0,1,4,2,-0.6075303458072976,2.0090404875168315,0.47374938973679087,1.4099357738580118,-0.44127777679621033,-0.6118742597990479,0.8953529530227017,-1.0321213431815668,-0.6093467410849076,3,3,105.0,2020,2,8,2,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,34.0,95.0,79.0,69.33333333333333,65.5,95.0,34.0,31.628046625318696,-61.0,16.0,-77.0,0.45617368360935373,0.0,1.0,0.20799438961010605,1,-0.6354166666666666,21.08530805687204,0.03044222426402757,0.2595452055092569,1.061737554904526,0.42499996093716763
22,2020-02-26,0,9,0,0,0,1,1,1,-0.6552203696457828,1.8313189820608151,0.043877985227413846,0.15689222362192118,-0.5602607351184206,-0.086059478325734,0.8953529530227017,-1.0321213431815668,1.2562270498680947,0,3,91.0,2020,2,9,2,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,105.0,34.0,95.0,78.0,68.16666666666667,105.0,34.0,38.43175770115127,71.0,-61.0,132.0,0.4927147791538907,1.0,0.0,0.19523141627597276,1,2.0,17.620253164556964,0.051708648081409896,0.14056641968130262,1.061737554904526,0.5749999462850388
4,2020-03-04,0,9,0,0,0,1,1,2,-0.3895188082599367,1.5383714455948536,0.2392740781862216,1.3942240298723918,-0.37682228020318936,-0.45669105587160147,0.8953529530227017,-1.0321213431815668,1.5053465732269335,3,2,150.0,2020,3,10,2,0,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,91.0,105.0,34.0,76.66666666666667,75.33333333333333,105.0,34.0,37.60762334066503,-14.0,71.0,-85.0,0.4905341535042194,0.0,0.0,0.17419354814278606,1,-0.1320754716981132,15.991416309012875,0.04002221548728706,0.2334238091449416,0.9631444622106695,0.46249995785818065
